,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
160,2020-10-30,501.6160433486966,409.80463923621295,583.196561303818,501.6160433486966,501.6160433486966,-7.762546552061042,-7.762546552061042,-7.762546552061042,-7.762546552061042,-7.762546552061042,-7.762546552061042,0.0,0.0,0.0,493.85349679663557
161,2020-11-02,509.206586649015,423.0490298342889,587.6641118167239,509.206586649015,509.206586649015,-5.864684727292769,-5.864684727292769,-5.864684727292769,-5.864684727292769,-5.864684727292769,-5.864684727292769,0.0,0.0,0.0,503.3419019217222
162,2020-11-03,511.7367677491211,426.3565823488303,594.0500094308968,511.7367677491211,511.7367677491211,-2.3833795792011023,-2.3833795792011023,-2.3833795792011023,-2.3833795792011023,-2.3833795792011023,-2.3833795792011023,0.0,0.0,0.0,509.35338816992
163,2020-11-04,514.2669488492273,428.9449348466098,603.3813159398914,514.2669488492273,514.2669488492273,-3.4943599920804074,-3.4943599920804074,-3.4943599920804074,-3.4943599920804074,-3.4943599920804074,-3.4943599920804074,0.0,0.0,0.0,510.7725888571469
164,2020-11-05,516.7971299493333,429.15131158846486,600.5451625148586,516.7971299493333,516.7971299493333,-3.8435786953058035,-3.8435786953058035,-3.8435786953058035,-3.8435786953058035,-3.8435786953058035,-3.8435786953058035,0.0,0.0,0.0,512.9535512540275
165,2020-11-06,519.3273110494395,425.44886563507396,593.8716003505502,519.3273110494395,519.3273110494395,-7.762546552030249,-7.762546552030249,-7.762546552030249,-7.762546552030249,-7.762546552030249,-7.762546552030249,0.0,0.0,0.0,511.5647644974092
166,2020-11-09,526.9178543497578,434.92130175043684,608.3915849288173,526.9178543497578,526.9178543497578,-5.864684727305694,-5.864684727305694,-5.864684727305694,-5.864684727305694,-5.864684727305694,-5.864684727305694,0.0,0.0,0.0,521.0531696224522
167,2020-11-10,529.448035449864,441.6875594799964,608.5061055688782,529.448035449864,529.448035449864,-2.3833795792211356,-2.3833795792211356,-2.3833795792211356,-2.3833795792211356,-2.3833795792211356,-2.3833795792211356,0.0,0.0,0.0,527.0646558706429
168,2020-11-11,532.0550135812932,449.0658085423347,616.785055653543,532.0550135812932,532.0550135812932,-3.4943599920816006,-3.4943599920816006,-3.4943599920816006,-3.4943599920816006,-3.4943599920816006,-3.4943599920816006,0.0,0.0,0.0,528.5606535892116
169,2020-11-12,534.6619917127224,444.589134213214,617.100897252982,534.6619917127224,534.6619917127224,-3.843578695304625,-3.843578695304625,-3.843578695304625,-3.843578695304625,-3.843578695304625,-3.843578695304625,0.0,0.0,0.0,530.8184130174178
170,2020-11-13,537.2689698441517,449.81662282654577,614.8079642378577,537.2689698441517,537.2689698441517,-7.762546552084719,-7.762546552084719,-7.762546552084719,-7.762546552084719,-7.762546552084719,-7.762546552084719,0.0,0.0,0.0,529.506423292067
171,2020-11-16,545.0899042384392,453.1468173512817,626.7418978824035,545.0899042384392,545.0899042384392,-5.8646847272987,-5.8646847272987,-5.8646847272987,-5.8646847272987,-5.8646847272987,-5.8646847272987,0.0,0.0,0.0,539.2252195111405
172,2020-11-17,547.6968823698685,450.2982891448423,635.1077307159497,547.6968823698685,547.6968823698685,-2.3833795792133436,-2.3833795792133436,-2.3833795792133436,-2.3833795792133436,-2.3833795792133436,-2.3833795792133436,0.0,0.0,0.0,545.3135027906551
173,2020-11-18,550.3038605012977,458.64259084709255,631.0624933481134,550.3038605012977,550.3038605012977,-3.4943599920784374,-3.4943599920784374,-3.4943599920784374,-3.4943599920784374,-3.4943599920784374,-3.4943599920784374,0.0,0.0,0.0,546.8095005092192
174,2020-11-19,552.9108386327268,464.6449234770145,639.2206037482335,552.9108386327268,552.9108386327268,-3.8435786953211437,-3.8435786953211437,-3.8435786953211437,-3.8435786953211437,-3.8435786953211437,-3.8435786953211437,0.0,0.0,0.0,549.0672599374057
175,2020-11-20,555.5178167641559,463.17279111070604,635.818570345662,555.5178167641559,555.5178167641559,-7.762546552071638,-7.762546552071638,-7.762546552071638,-7.762546552071638,-7.762546552071638,-7.762546552071638,0.0,0.0,0.0,547.7552702120843
176,2020-11-23,563.3387510992322,474.55674647594583,643.219495834891,563.3387510992322,563.3387510992322,-5.864684727291707,-5.864684727291707,-5.864684727291707,-5.864684727291707,-5.864684727291707,-5.864684727291707,0.0,0.0,0.0,557.4740663719406
177,2020-11-24,565.9457292109242,475.7653703055684,646.9044906620597,565.9457292109242,565.9457292109242,-2.383379579217586,-2.383379579217586,-2.383379579217586,-2.383379579217586,-2.383379579217586,-2.383379579217586,0.0,0.0,0.0,563.5623496317066
178,2020-11-25,568.5527073226165,478.1203177512609,654.4396449673727,568.5527073226165,568.5527073226165,-3.4943599920796307,-3.4943599920796307,-3.4943599920796307,-3.4943599920796307,-3.4943599920796307,-3.4943599920796307,0.0,0.0,0.0,565.0583473305369
179,2020-11-27,573.7666635460006,478.2702455730908,654.6627374609867,573.7666635460006,573.7666635460006,-7.762546552058555,-7.762546552058555,-7.762546552058555,-7.762546552058555,-7.762546552058555,-7.762546552058555,0.0,0.0,0.0,566.004116993942
180,2020-11-30,581.5875978810769,486.68019475492025,659.1307598116025,581.5875978810769,581.5875978810769,-5.864684727324548,-5.864684727324548,-5.864684727324548,-5.864684727324548,-5.864684727324548,-5.864684727324548,0.0,0.0,0.0,575.7229131537524
181,2020-12-01,584.194575992769,493.36110224768544,665.4372085172922,584.194575992769,584.194575992769,-2.38337957919776,-2.38337957919776,-2.38337957919776,-2.38337957919776,-2.38337957919776,-2.38337957919776,0.0,0.0,0.0,581.8111964135713
182,2020-12-02,586.801554104461,492.53434362253535,666.0793266133506,586.801554104461,586.801554104461,-3.494359992079058,-3.494359992079058,-3.494359992079058,-3.494359992079058,-3.494359992079058,-3.494359992079058,0.0,0.0,0.0,583.307194112382
183,2020-12-03,589.4085322161532,501.0011061017202,673.7295186218358,589.4085322161532,589.4085322161532,-3.843578695327636,-3.843578695327636,-3.843578695327636,-3.843578695327636,-3.843578695327636,-3.843578695327636,0.0,0.0,0.0,585.5649535208255
184,2020-12-04,592.0155102773883,491.404226503449,662.8584202782298,592.0155102773883,592.0155102773883,-7.762546552095313,-7.762546552095313,-7.762546552095313,-7.762546552095313,-7.762546552095313,-7.762546552095313,0.0,0.0,0.0,584.2529637252931
185,2020-12-07,599.8364444610935,509.5750108498158,682.0503579466593,599.8364444610935,599.8364444610935,-5.864684727311182,-5.864684727311182,-5.864684727311182,-5.864684727311182,-5.864684727311182,-5.864684727311182,0.0,0.0,0.0,593.9717597337823
186,2020-12-08,602.4434225223288,514.7971460635463,691.6564552071252,602.4434225223288,602.4434225223288,-2.383379579202003,-2.383379579202003,-2.383379579202003,-2.383379579202003,-2.383379579202003,-2.383379579202003,0.0,0.0,0.0,600.0600429431267
187,2020-12-09,605.0504005835638,516.4533680228345,688.6565024791469,605.0504005835638,605.0504005835638,-3.494359992080251,-3.494359992080251,-3.494359992080251,-3.494359992080251,-3.494359992080251,-3.494359992080251,0.0,0.0,0.0,601.5560405914836
188,2020-12-10,607.657378644799,517.3921500722228,691.2348330345952,607.657378644799,607.657378644799,-3.843578695304156,-3.843578695304156,-3.843578695304156,-3.843578695304156,-3.843578695304156,-3.843578695304156,0.0,0.0,0.0,603.8137999494949
189,2020-12-11,610.264356706034,519.5692970600791,688.6466512262691,610.264356706034,610.264356706034,-7.762546552082233,-7.762546552082233,-7.762546552082233,-7.762546552082233,-7.762546552082233,-7.762546552082233,0.0,0.0,0.0,602.5018101539519
190,2020-12-14,618.0852908897394,532.667497278887,703.2681628804196,618.0852908897394,618.0852908897394,-5.864684727304188,-5.864684727304188,-5.864684727304188,-5.864684727304188,-5.864684727304188,-5.864684727304188,0.0,0.0,0.0,612.2206061624353
191,2020-12-15,620.6922689509745,538.0862309434754,701.9273584350499,620.6922689509745,620.6922689509745,-2.3833795792220376,-2.3833795792220376,-2.3833795792220376,-2.3833795792220376,-2.3833795792220376,-2.3833795792220376,0.0,0.0,0.0,618.3088893717525
192,2020-12-16,623.2992466155922,533.4175101150195,708.6209890300759,623.2992466155922,623.2992466155922,-3.4943599920796764,-3.4943599920796764,-3.4943599920796764,-3.4943599920796764,-3.4943599920796764,-3.4943599920796764,0.0,0.0,0.0,619.8048866235125
193,2020-12-17,625.9062242802098,538.2234405267343,711.0117443995932,625.9062242802098,625.9062242802098,-3.8435786953118263,-3.8435786953118263,-3.8435786953118263,-3.8435786953118263,-3.8435786953118263,-3.8435786953118263,0.0,0.0,0.0,622.062645584898
194,2020-12-18,628.5132019448274,535.3471028248056,702.6730292107858,628.5132019448274,628.5132019448274,-7.76254655206915,-7.76254655206915,-7.76254655206915,-7.76254655206915,-7.76254655206915,-7.76254655206915,0.0,0.0,0.0,620.7506553927583
195,2020-12-21,636.3341349386803,542.4744859451256,716.7603220282837,636.3341349386803,636.3341349386803,-5.864684727297196,-5.864684727297196,-5.864684727297196,-5.864684727297196,-5.864684727297196,-5.864684727297196,0.0,0.0,0.0,630.4694502113831
196,2020-12-22,638.9411126032979,551.1810787874525,717.6514856652326,638.9411126032979,638.9411126032979,-2.3833795792142434,-2.3833795792142434,-2.3833795792142434,-2.3833795792142434,-2.3833795792142434,-2.3833795792142434,0.0,0.0,0.0,636.5577330240837
197,2020-12-23,641.5480902679155,551.635284009173,726.4149780789292,641.5480902679155,641.5480902679155,-3.4943599920826376,-3.4943599920826376,-3.4943599920826376,-3.4943599920826376,-3.4943599920826376,-3.4943599920826376,0.0,0.0,0.0,638.0537302758329
